NAME,CODE,DESCRIPTIO,MS_FB_PARE,MS_FB
Aberavon Assembly Const,W09000022,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000022
Aberconwy Assembly Const,W09000003,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000003
Aberdeen Central P Const,S16000074,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000074
Aberdeen Donside P Const,S16000075,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000075
Aberdeen South and North Kincardine P Const,S16000076,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000076
Aberdeenshire East P Const,S16000077,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000077
Aberdeenshire West P Const,S16000078,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000078
Airdrie and Shotts P Const,S16000079,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000079
Almond Valley P Const,S16000080,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000080
Alyn and Deeside Assembly Const,W09000007,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000007
Angus North and Mearns P Const,S16000081,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000081
Angus South P Const,S16000082,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000082
Arfon Assembly Const,W09000002,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000002
Argyll and Bute P Const,S16000083,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000083
Ayr P Const,S16000084,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000084
BELFAST EAST,N06000001,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000001
BELFAST NORTH,N06000002,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000002
BELFAST SOUTH,N06000003,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000003
BELFAST WEST,N06000004,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000004
Banffshire and Buchan Coast P Const,S16000085,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000085
Blaenau Gwent Assembly Const,W09000038,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000038
Brecon and Radnorshire Assembly Const,W09000041,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000041
Bridgend Assembly Const,W09000023,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000023
Caerphilly Assembly Const,W09000035,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000035
"Caithness, Sutherland and Ross P Const",S16000086,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000086
Cardiff Central Assembly Const,W09000031,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000031
Cardiff North Assembly Const,W09000042,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000042
Cardiff South and Penarth Assembly Const,W09000043,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000043
Cardiff West Assembly Const,W09000029,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000029
Carmarthen East and Dinefwr Assembly Const,W09000015,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000015
Carmarthen West and South Pembrokeshire Assembly Const,W09000016,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000016
"Carrick, Cumnock and Doon Valley P Const",S16000087,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000087
Ceredigion Assembly Const,W09000012,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000012
Clackmannanshire and Dunblane P Const,S16000088,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000088
Clwyd South Assembly Const,W09000009,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000009
Clwyd West Assembly Const,W09000004,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000004
Clydebank and Milngavie P Const,S16000089,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000089
Clydesdale P Const,S16000090,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000090
Coatbridge and Chryston P Const,S16000091,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000091
Cowdenbeath P Const,S16000092,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000092
Cumbernauld and Kilsyth P Const,S16000093,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000093
Cunninghame North P Const,S16000094,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000094
Cunninghame South P Const,S16000095,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000095
Cynon Valley Assembly Const,W09000026,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000026
Delyn Assembly Const,W09000006,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000006
Dumbarton P Const,S16000096,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000096
Dumfriesshire P Const,S16000097,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000097
Dundee City East P Const,S16000098,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000098
Dundee City West P Const,S16000099,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000099
Dunfermline P Const,S16000100,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000100
Dwyfor Meirionnydd Assembly Const,W09000010,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000010
EAST ANTRIM,N06000005,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000005
EAST LONDONDERRY,N06000006,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000006
East Kilbride P Const,S16000101,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000101
East Lothian P Const,S16000102,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000102
Eastwood P Const,S16000103,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000103
Edinburgh Central P Const,S16000104,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000104
Edinburgh Eastern P Const,S16000105,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000105
Edinburgh Northern and Leith P Const,S16000106,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000106
Edinburgh Pentlands P Const,S16000107,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000107
Edinburgh Southern P Const,S16000108,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000108
Edinburgh Western P Const,S16000109,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000109
"Ettrick, Roxburgh and Berwickshire P Const",S16000111,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000111
FERMANAGH AND SOUTH TYRONE,N06000007,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000007
FOYLE,N06000008,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000008
Falkirk East P Const,S16000112,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000112
Falkirk West P Const,S16000113,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000113
Galloway and West Dumfries P Const,S16000114,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000114
Glasgow Anniesland P Const,S16000115,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000115
Glasgow Cathcart P Const,S16000116,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000116
Glasgow Kelvin P Const,S16000117,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000117
Glasgow Maryhill and Springburn P Const,S16000118,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000118
Glasgow Pollok P Const,S16000119,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000119
Glasgow Provan P Const,S16000147,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000147
Glasgow Shettleston P Const,S16000121,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000121
Glasgow Southside P Const,S16000122,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000122
Gower Assembly Const,W09000018,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000018
Greenock and Inverclyde P Const,S16000123,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000123
"Hamilton, Larkhall and Stonehouse P Const",S16000124,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000124
Inverness and Nairn P Const,S16000125,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000125
Islwyn Assembly Const,W09000036,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000036
Kilmarnock and Irvine Valley P Const,S16000126,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000126
Kirkcaldy P Const,S16000127,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000127
LAGAN VALLEY,N06000009,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000009
Linlithgow P Const,S16000128,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000128
Llanelli Assembly Const,W09000017,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000017
MID ULSTER,N06000010,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000010
Merthyr Tydfil and Rhymney Assembly Const,W09000044,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000044
Mid Fife and Glenrothes P Const,S16000129,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000129
Midlothian North and Musselburgh P Const,S16000130,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000130
"Midlothian South, Tweeddale and Lauderdale P Const",S16000131,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000131
Monmouth Assembly Const,W09000034,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000034
Montgomeryshire Assembly Const,W09000011,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000011
Moray P Const,S16000132,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000132
Motherwell and Wishaw P Const,S16000133,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000133
NEWRY AND ARMAGH,N06000011,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000011
NORTH ANTRIM,N06000012,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000012
NORTH DOWN,N06000013,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000013
Na h-Eileanan an Iar P Const,S16000110,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000110
Neath Assembly Const,W09000021,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000021
Newport East Assembly Const,W09000040,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000040
Newport West Assembly Const,W09000039,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000039
North East Fife P Const,S16000134,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000134
Ogmore Assembly Const,W09000045,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000045
Orkney Islands P Const,S16000135,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000135
Paisley P Const,S16000136,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000136
Perthshire North P Const,S16000137,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000137
Perthshire South and Kinross-shire P Const,S16000138,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000138
Pontypridd Assembly Const,W09000046,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000046
Preseli Pembrokeshire Assembly Const,W09000014,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000014
Renfrewshire North and West P Const,S16000139,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000139
Renfrewshire South P Const,S16000140,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000140
Rhondda Assembly Const,W09000025,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000025
Rutherglen P Const,S16000141,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000141
SOUTH ANTRIM,N06000014,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000014
SOUTH DOWN,N06000015,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000015
STRANGFORD,N06000016,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000016
Shetland Islands P Const,S16000142,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000142
"Skye, Lochaber and Badenoch P Const",S16000143,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000143
Stirling P Const,S16000144,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000144
Strathkelvin and Bearsden P Const,S16000148,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000148
Swansea East Assembly Const,W09000020,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000020
Swansea West Assembly Const,W09000019,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000019
Torfaen Assembly Const,W09000037,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000037
UPPER BANN,N06000017,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000017
Uddingston and Bellshill P Const,S16000146,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000146
Vale of Clwyd Assembly Const,W09000005,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000005
Vale of Glamorgan Assembly Const,W09000047,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000047
WEST TYRONE,N06000018,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000018
Wrexham Assembly Const,W09000008,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000008
Ynys Mon Assembly Const,W09000001,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000001
