NAME,ToReconcile,WIKIDATA,CODE,MS_FB_PARE,MS_FB
STRANGFORD,Strangford,Q751724,N06000016,country:gb/province:nir,country:gb/province:nir/westminster-constituency:n06000016
Saffron Walden Co Const,Saffron Walden,Q1031869,E14000910,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000910
Salford and Eccles Boro Const,Salford and Eccles,Q1031863,E14000911,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000911
Salisbury Co Const,Salisbury,Q1031840,E14000912,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000912
Scarborough and Whitby Co Const,Scarborough and Whitby,Q1031819,E14000913,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000913
Scunthorpe Co Const,Scunthorpe,Q989041,E14000914,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000914
Sedgefield Co Const,Sedgefield,Q1031806,E14000915,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000915
Sefton Central Co Const,Sefton Central,Q1031797,E14000916,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000916
Selby and Ainsty Co Const,Selby and Ainsty,Q1031788,E14000917,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000917
Sevenoaks Co Const,Sevenoaks,Q1031768,E14000918,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000918
Sheffield Central Boro Const,Sheffield Central,Q1031760,E14000919,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000919
Sheffield South East Boro Const,Sheffield South East,Q1031751,E14000920,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000920
"Sheffield, Brightside and Hillsborough Boro Const",Sheffield Brightside and Hillsborough,Q1031745,E14000921,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000921
"Sheffield, Hallam Co Const",Sheffield Hallam,Q1031731,E14000922,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000922
"Sheffield, Heeley Boro Const",Sheffield Heeley,Q1031720,E14000923,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000923
Sherwood Co Const,Sherwood,Q1031709,E14000924,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000924
Shipley Co Const,Shipley,Q1031659,E14000925,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000925
Shrewsbury and Atcham Co Const,Shrewsbury and Atcham,Q1031497,E14000926,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000926
Sittingbourne and Sheppey Co Const,Sittingbourne and Sheppey,Q1031352,E14000927,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000927
Skipton and Ripon Co Const,Skipton and Ripon,Q989226,E14000928,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000928
Sleaford and North Hykeham Co Const,Sleaford and North Hykeham,Q989206,E14000929,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000929
Slough Boro Const,Slough,Q989007,E14000930,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000930
Solihull Boro Const,Solihull,Q989027,E14000931,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000931
Somerton and Frome Co Const,Somerton and Frome,Q989017,E14000932,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000932
South Basildon and East Thurrock Co Const,South Basildon and East Thurrock,Q988637,E14000933,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000933
South Cambridgeshire Co Const,South Cambridgeshire,Q988645,E14000934,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000934
South Derbyshire Co Const,South Derbyshire,Q988730,E14000935,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000935
South Dorset Co Const,South Dorset,Q988587,E14000936,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000936
South East Cambridgeshire Co Const,South East Cambridgeshire,Q988740,E14000937,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000937
South East Cornwall Co Const,South East Cornwall,Q988977,E14000938,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000938
South Holland and The Deepings Co Const,South Holland and The Deepings,Q988966,E14000939,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000939
South Leicestershire Co Const,South Leicestershire,Q988954,E14000940,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000940
South Norfolk Co Const,South Norfolk,Q988942,E14000941,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000941
South Northamptonshire Co Const,South Northamptonshire,Q988884,E14000942,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000942
South Ribble Co Const,South Ribble,Q988873,E14000943,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000943
South Shields Boro Const,South Shields,Q988859,E14000944,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000944
South Staffordshire Co Const,South Staffordshire,Q988851,E14000945,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000945
South Suffolk Co Const,South Suffolk,Q988848,E14000946,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000946
South Swindon Co Const,South Swindon,Q988843,E14000947,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000947
South Thanet Co Const,South Thanet,Q988835,E14000948,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000948
South West Bedfordshire Co Const,South West Bedfordshire,Q988826,E14000949,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000949
South West Devon Co Const,South West Devon,Q988814,E14000950,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000950
South West Hertfordshire Co Const,South West Hertfordshire,Q988809,E14000951,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000951
South West Norfolk Co Const,South West Norfolk,Q988801,E14000952,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000952
South West Surrey Co Const,South West Surrey,Q988793,E14000953,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000953
South West Wiltshire Co Const,South West Wiltshire,Q988746,E14000954,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000954
"Southampton, Itchen Boro Const",Southampton Itchen,Q988625,E14000955,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000955
"Southampton, Test Boro Const",Southampton Test,Q988615,E14000956,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000956
Southend West Boro Const,Southend West,Q988607,E14000957,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000957
Southport Boro Const,Southport,Q988601,E14000958,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000958
Spelthorne Boro Const,Spelthorne,Q988595,E14000959,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000959
St. Albans Co Const,St Albans,Q988569,E14000960,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000960
St. Austell and Newquay Co Const,St Austell and Newquay,Q988556,E14000961,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000961
St. Helens North Boro Const,St Helens North,Q988533,E14000962,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000962
St. Helens South and Whiston Boro Const,St Helens South and Whiston,Q988454,E14000963,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000963
St. Ives Co Const,St Ives,Q988435,E14000964,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000964
Stafford Co Const,Stafford,Q988420,E14000965,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000965
Staffordshire Moorlands Co Const,Staffordshire Moorlands,Q988407,E14000966,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000966
Stalybridge and Hyde Co Const,Stalybridge and Hyde,Q988399,E14000967,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000967
Stevenage Co Const,Stevenage,Q988387,E14000968,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000968
Stirling Co Const,Stirling,Q988375,S14000057,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000057
Stockport Boro Const,Stockport,Q988356,E14000969,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000969
Stockton North Boro Const,Stockton North,Q988335,E14000970,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000970
Stockton South Boro Const,Stockton South,Q988304,E14000971,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000971
Stoke-on-Trent Central Boro Const,Stoke-on-Trent Central,Q988288,E14000972,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000972
Stoke-on-Trent North Boro Const,Stoke-on-Trent North,Q988278,E14000973,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000973
Stoke-on-Trent South Boro Const,Stoke-on-Trent South,Q988262,E14000974,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000974
Stone Co Const,Stone,Q988242,E14000975,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000975
Stourbridge Boro Const,Stourbridge,Q988231,E14000976,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000976
Stratford-on-Avon Co Const,Stratford-on-Avon,Q740118,E14000977,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000977
Streatham Boro Const,Streatham,Q875403,E14000978,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000978
Stretford and Urmston Boro Const,Stretford and Urmston,Q988219,E14000979,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000979
Stroud Co Const,Stroud,Q988211,E14000980,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000980
Suffolk Coastal Co Const,Suffolk Coastal,Q988194,E14000981,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000981
Sunderland Central Boro Const,Sunderland Central,Q988171,E14000982,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000982
Surrey Heath Co Const,Surrey Heath,Q988166,E14000983,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000983
Sutton Coldfield Boro Const,Sutton Coldfield,Q988127,E14000985,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000985
Sutton and Cheam Boro Const,Sutton and Cheam,Q988153,E14000984,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000984
Swansea East Boro Const,Swansea East,Q988081,W07000048,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000048
Swansea West Boro Const,Swansea West,Q988068,W07000047,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000047
Tamworth Co Const,Tamworth,Q988057,E14000986,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000986
Tatton Co Const,Tatton,Q988027,E14000987,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000987
Taunton Deane Co Const,Taunton Deane,Q988001,E14000988,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000988
Telford Boro Const,Telford,Q987980,E14000989,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000989
Tewkesbury Co Const,Tewkesbury,Q987959,E14000990,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000990
The Cotswolds Co Const,The Cotswolds,Q987938,E14000991,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000991
The Wrekin Co Const,The Wrekin,Q987915,E14000992,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000992
Thirsk and Malton Co Const,Thirsk and Malton,Q987899,E14000993,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000993
Thornbury and Yate Co Const,Thornbury and Yate,Q987884,E14000994,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000994
Thurrock Boro Const,Thurrock,Q987872,E14000995,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000995
Tiverton and Honiton Co Const,Tiverton and Honiton,Q987857,E14000996,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000996
Tonbridge and Malling Co Const,Tonbridge and Malling,Q875493,E14000997,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000997
Tooting Boro Const,Tooting,Q875474,E14000998,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000998
Torbay Boro Const,Torbay,Q875454,E14000999,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000999
Torfaen Co Const,Torfaen,Q875434,W07000053,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000053
Torridge and West Devon Co Const,Torridge and West Devon,Q875359,E14001000,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001000
Totnes Co Const,Totnes,Q875285,E14001001,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001001
Tottenham Boro Const,Tottenham,Q875261,E14001002,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001002
Truro and Falmouth Co Const,Truro and Falmouth,Q875246,E14001003,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001003
Tunbridge Wells Co Const,Tunbridge Wells,Q875225,E14001004,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001004
Twickenham Boro Const,Twickenham,Q875210,E14001005,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001005
Tynemouth Boro Const,Tynemouth,Q875175,E14001006,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001006
UPPER BANN,Upper Bann,Q751737,N06000017,country:gb/province:nir,country:gb/province:nir/westminster-constituency:n06000017
Uxbridge and South Ruislip Boro Const,Uxbridge and South Ruislip,Q751466,E14001007,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001007
Vale of Clwyd Co Const,Vale of Clwyd,Q873520,W07000060,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000060
Vale of Glamorgan Co Const,Vale of Glamorgan,Q873604,W07000078,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000078
Vauxhall Boro Const,Vauxhall,Q873637,E14001008,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001008
WEST TYRONE,West Tyrone,Q751745,N06000018,country:gb/province:nir,country:gb/province:nir/westminster-constituency:n06000018
Wakefield Co Const,Wakefield,Q874488,E14001009,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001009
Wallasey Boro Const,Wallasey,Q875135,E14001010,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001010
Walsall North Boro Const,Walsall North,Q875108,E14001011,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001011
Walsall South Boro Const,Walsall South,Q875087,E14001012,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001012
Walthamstow Boro Const,Walthamstow,Q875059,E14001013,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001013
Wansbeck Co Const,Wansbeck,Q875033,E14001014,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001014
Wantage Co Const,Wantage,Q875011,E14001015,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001015
Warley Boro Const,Warley,Q874986,E14001016,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001016
Warrington North Boro Const,Warrington North,Q874974,E14001017,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001017
Warrington South Boro Const,Warrington South,Q874959,E14001018,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001018
Warwick and Leamington Boro Const,Warwick and Leamington,Q874946,E14001019,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001019
Washington and Sunderland West Boro Const,Washington and Sunderland West,Q874921,E14001020,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001020
Watford Boro Const,Watford,Q11003,E14001021,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001021
Waveney Co Const,Waveney,Q874871,E14001022,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001022
Wealden Co Const,Wealden,Q874714,E14001023,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001023
Weaver Vale Co Const,Weaver Vale,Q874700,E14001024,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001024
Wellingborough Co Const,Wellingborough,Q874686,E14001025,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001025
Wells Co Const,Wells,Q874666,E14001026,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001026
Welwyn Hatfield Co Const,Welwyn Hatfield,Q874643,E14001027,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001027
Wentworth and Dearne Co Const,Wentworth and Dearne,Q874623,E14001028,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001028
West Aberdeenshire and Kincardine Co Const,West Aberdeenshire and Kincardine,Q874607,S14000058,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000058
West Bromwich East Boro Const,West Bromwich East,Q874585,E14001029,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001029
West Bromwich West Boro Const,West Bromwich West,Q874568,E14001030,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001030
West Dorset Co Const,West Dorset,Q874545,E14001031,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001031
West Dunbartonshire Co Const,West Dunbartonshire,Q3343077,S14000059,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000059
West Ham Boro Const,West Ham,Q874463,E14001032,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001032
West Lancashire Co Const,West Lancashire,Q874435,E14001033,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001033
West Suffolk Co Const,West Suffolk,Q874416,E14001034,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001034
West Worcestershire Co Const,West Worcestershire,Q874393,E14001035,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001035
Westminster North Boro Const,Westminster North,Q874123,E14001036,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001036
Westmorland and Lonsdale Co Const,Westmorland and Lonsdale,Q874372,E14001037,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001037
Weston-Super-Mare Co Const,Weston-super-Mare,Q874356,E14001038,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001038
Wigan Co Const,Wigan,Q874340,E14001039,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001039
Wimbledon Boro Const,Wimbledon,Q874319,E14001040,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001040
Winchester Co Const,Winchester,Q874300,E14001041,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001041
Windsor Co Const,Windsor,Q874276,E14001042,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001042
Wirral South Co Const,Wirral South,Q874256,E14001043,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001043
Wirral West Co Const,Wirral West,Q767602,E14001044,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001044
Witham Co Const,Witham,Q874215,E14001045,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001045
Witney Co Const,Witney,Q874194,E14001046,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001046
Woking Co Const,Woking,Q874173,E14001047,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001047
Wokingham Co Const,Wokingham,Q874153,E14001048,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001048
Wolverhampton North East Boro Const,Wolverhampton North East,Q874095,E14001049,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001049
Wolverhampton South East Boro Const,Wolverhampton South East,Q874069,E14001050,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001050
Wolverhampton South West Boro Const,Wolverhampton South West,Q874041,E14001051,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001051
Worcester Boro Const,Worcester,Q613294,E14001052,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001052
Workington Co Const,Workington,Q873994,E14001053,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001053
Worsley and Eccles South Co Const,Worsley and Eccles South,Q873975,E14001054,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001054
Worthing West Boro Const,Worthing West,Q750906,E14001055,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001055
Wrexham Co Const,Wrexham,Q750870,W07000044,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000044
Wycombe Co Const,Wycombe,Q750841,E14001056,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001056
Wyre Forest Co Const,Wyre Forest,Q750781,E14001058,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001058
Wyre and Preston North Co Const,Wyre and Preston North,Q750810,E14001057,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001057
Wythenshawe and Sale East Boro Const,Wythenshawe and Sale East,Q750690,E14001059,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001059
Yeovil Co Const,Yeovil,Q750677,E14001060,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001060
Ynys Mon Co Const,Ynys Mn,Q750661,W07000041,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000041
York Central Boro Const,York Central,Q589328,E14001061,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001061
York Outer Co Const,York Outer,Q589079,E14001062,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14001062
